<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PID,20210611,1.8000,2.1000,1.7000,2.1000,3700,1.8000,2.1000,1.7000,2.1000,0,0,0
PID,20210604,2.4000,2.4000,2.0000,2.0000,20930,2.4000,2.4000,2.0000,2.0000,0,0,0
PID,20210521,2.4000,2.5000,2.0000,2.0000,9400,2.4000,2.5000,2.0000,2.0000,0,0,0
PID,20210514,2.2000,2.2000,2.2000,2.2000,6700,2.2000,2.2000,2.2000,2.2000,0,0,0
PID,20210507,2.3000,2.7000,2.3000,2.7000,1200,2.3000,2.7000,2.3000,2.7000,0,0,0
PID,20210423,2.6000,3.4000,2.6000,2.6000,3800,2.6000,3.4000,2.6000,2.6000,0,0,0
PID,20210416,2.7000,3.3000,2.5000,2.5000,8900,2.7000,3.3000,2.5000,2.5000,0,0,0
PID,20210409,3.0000,3.0000,2.9000,2.9000,65600,3.0000,3.0000,2.9000,2.9000,0,0,0
PID,20210402,3.3000,3.8000,3.3000,3.8000,6100,3.3000,3.8000,3.3000,3.8000,0,0,0
PID,20210122,0.0000,3.8000,3.8000,3.8000,3400,0.0000,3.8000,3.8000,3.8000,0,0,0
PID,20170526,6.3000,6.3000,6.3000,6.3000,100,6.3000,6.3000,6.3000,6.3000,0,0,0
PID,20170418,6.3000,6.3000,6.3000,6.3000,1000,6.3000,6.3000,6.3000,6.3000,0,0,0
PID,20170417,7.3000,7.3000,7.3000,7.3000,1000,7.3000,7.3000,7.3000,7.3000,0,0,0
PID,20170414,8.5000,8.5000,8.5000,8.5000,1000,8.5000,8.5000,8.5000,8.5000,0,0,0
PID,20170412,9.9000,9.9000,9.9000,9.9000,900,9.9000,9.9000,9.9000,9.9000,0,0,0
PID,20170411,11.6000,11.6000,11.6000,11.6000,100,11.6000,11.6000,11.6000,11.6000,0,0,0
PID,20170404,9.6000,12.8000,9.6000,12.8000,600,9.6000,12.8000,9.6000,12.8000,0,0,0
PID,20170403,11.2000,11.2000,11.2000,11.2000,100,11.2000,11.2000,11.2000,11.2000,0,0,0
PID,20170329,13.1000,13.1000,13.1000,13.1000,2000,13.1000,13.1000,13.1000,13.1000,0,0,1000
PID,20170323,15.4000,15.4000,15.4000,15.4000,680,15.4000,15.4000,15.4000,15.4000,0,0,0
PID,20170320,15.4000,15.4000,15.4000,15.4000,690,15.4000,15.4000,15.4000,15.4000,0,0,0
PID,20170314,15.4000,15.4000,15.4000,15.4000,10,15.4000,15.4000,15.4000,15.4000,0,0,0
PID,20170313,15.4000,15.4000,15.4000,15.4000,170,15.4000,15.4000,15.4000,15.4000,0,0,0
PID,20170310,15.4000,15.4000,15.4000,15.4000,30,15.4000,15.4000,15.4000,15.4000,0,0,0
PID,20170307,15.4000,15.5000,15.4000,15.5000,300,15.4000,15.5000,15.4000,15.5000,0,0,100
PID,20170303,15.5000,15.5000,15.5000,15.5000,500,15.5000,15.5000,15.5000,15.5000,0,0,0
PID,20170228,13.5000,13.5000,13.5000,13.5000,500,13.5000,13.5000,13.5000,13.5000,0,0,0
PID,20170224,13.5000,13.5000,13.5000,13.5000,200,13.5000,13.5000,13.5000,13.5000,0,0,0
PID,20170223,11.9000,11.9000,11.9000,11.9000,200,11.9000,11.9000,11.9000,11.9000,0,0,0
PID,20170221,11.5000,11.5000,11.5000,11.5000,200,11.5000,11.5000,11.5000,11.5000,0,0,0
PID,20170216,10.0000,10.2000,10.0000,10.2000,200,10.0000,10.2000,10.0000,10.2000,0,0,0
PID,20170214,8.9000,8.9000,8.9000,8.9000,200,8.9000,8.9000,8.9000,8.9000,0,0,0
PID,20170207,8.6000,8.6000,8.6000,8.6000,100,8.6000,8.6000,8.6000,8.6000,0,0,0
PID,20170202,7.6000,7.6000,7.6000,7.6000,100,7.6000,7.6000,7.6000,7.6000,0,0,0
PID,20170123,7.2000,7.2000,7.2000,7.2000,100,7.2000,7.2000,7.2000,7.2000,0,0,100
PID,20170120,8.1000,8.1000,8.1000,8.1000,100,8.1000,8.1000,8.1000,8.1000,0,0,0
PID,20170112,7.2000,7.2000,7.2000,7.2000,100,7.2000,7.2000,7.2000,7.2000,0,0,0
PID,20170111,7.7000,7.7000,5.7000,5.7000,2500,7.7000,7.7000,5.7000,5.7000,0,0,0
PID,20170110,6.7000,6.7000,6.7000,6.7000,1700,6.7000,6.7000,6.7000,6.7000,0,0,0
PID,20170106,6.6000,8.8000,6.6000,6.6000,1500,6.6000,8.8000,6.6000,6.6000,0,0,0
PID,20170105,7.7000,7.7000,7.7000,7.7000,100,7.7000,7.7000,7.7000,7.7000,0,0,0
PID,20170104,9.3000,9.3000,6.9000,6.9000,900,9.3000,9.3000,6.9000,6.9000,0,0,0
PID,20161228,8.1000,8.1000,8.1000,8.1000,600,8.1000,8.1000,8.1000,8.1000,0,0,0
PID,20161222,7.5000,7.5000,5.7000,5.7000,500,7.5000,7.5000,5.7000,5.7000,0,0,0
PID,20161221,6.6000,6.6000,6.6000,6.6000,100,6.6000,6.6000,6.6000,6.6000,0,0,0
PID,20161215,5.8000,5.8000,5.8000,5.8000,200,5.8000,5.8000,5.8000,5.8000,0,0,0
PID,20161214,5.2000,5.2000,4.0000,4.0000,1200,5.2000,5.2000,4.0000,4.0000,0,0,0
PID,20161213,5.2000,5.2000,4.0000,4.0000,200,5.2000,5.2000,4.0000,4.0000,0,0,0
PID,20161212,4.6000,4.6000,4.6000,4.6000,200,4.6000,4.6000,4.6000,4.6000,0,0,0
PID,20161209,4.7000,4.7000,3.5000,3.5000,1900,4.7000,4.7000,3.5000,3.5000,0,0,0
PID,20161205,4.1000,4.1000,4.1000,4.1000,100,4.1000,4.1000,4.1000,4.1000,0,0,0
PID,20161202,3.8000,3.8000,3.8000,3.8000,100,3.8000,3.8000,3.8000,3.8000,0,0,0
PID,20161201,3.5000,3.5000,3.2000,3.5000,1000,3.5000,3.5000,3.2000,3.5000,0,0,0
PID,20161130,3.1000,3.1000,3.1000,3.1000,300,3.1000,3.1000,3.1000,3.1000,0,0,0
PID,20161129,2.7000,2.7000,2.7000,2.7000,100,2.7000,2.7000,2.7000,2.7000,0,0,100
PID,20161128,3.1000,3.1000,2.3000,2.3000,1100,3.1000,3.1000,2.3000,2.3000,0,0,0
PID,20161124,2.5000,2.8000,2.5000,2.8000,2100,2.5000,2.8000,2.5000,2.8000,0,0,1000
PID,20160818,2.0000,2.0000,2.0000,2.0000,800,2.0000,2.0000,2.0000,2.0000,0,0,0
PID,20160725,2.3000,2.3000,2.3000,2.3000,1000,2.3000,2.3000,2.3000,2.3000,0,0,0
PID,20160721,2.3000,2.3000,2.3000,2.3000,100,2.3000,2.3000,2.3000,2.3000,0,0,0
PID,20160627,2.0000,2.0000,2.0000,2.0000,20000,2.0000,2.0000,2.0000,2.0000,0,0,0
PID,20160608,2.0000,2.0000,2.0000,2.0000,100000,2.0000,2.0000,2.0000,2.0000,0,0,0
PID,20160304,2.0000,2.0000,2.0000,2.0000,151300,2.0000,2.0000,2.0000,2.0000,0,0,0
PID,20160118,2.0000,2.0000,2.0000,2.0000,45600,2.0000,2.0000,2.0000,2.0000,0,0,0
PID,20160114,2.2000,2.2000,2.2000,2.2000,100,2.2000,2.2000,2.2000,2.2000,0,0,0
PID,20160113,2.5000,2.5000,2.5000,2.5000,1000,2.5000,2.5000,2.5000,2.5000,0,0,0
PID,20160112,2.9000,2.9000,2.9000,2.9000,1000,2.9000,2.9000,2.9000,2.9000,0,0,0
PID,20160111,3.3000,3.3000,3.3000,3.3000,1000,3.3000,3.3000,3.3000,3.3000,0,0,0
PID,20141201,5.5000,5.5000,5.5000,5.5000,100,5.5000,5.5000,5.5000,5.5000,0,0,0
PID,20141128,5.1000,5.1000,5.1000,5.1000,1700,5.1000,5.1000,5.1000,5.1000,0,0,0
PID,20141127,4.3000,4.7000,4.3000,4.7000,2000,4.3000,4.7000,4.3000,4.7000,0,0,0
PID,20141111,4.3000,4.3000,4.3000,4.3000,100,4.3000,4.3000,4.3000,4.3000,0,0,0
PID,20141105,4.0000,4.0000,4.0000,4.0000,1400,4.0000,4.0000,4.0000,4.0000,0,0,0
PID,20141103,4.4000,4.4000,4.4000,4.4000,100,4.4000,4.4000,4.4000,4.4000,0,0,0
PID,20141029,4.0000,4.4000,4.0000,4.4000,1300,4.0000,4.4000,4.0000,4.4000,0,0,0
PID,20141027,4.4000,4.4000,4.4000,4.4000,600,4.4000,4.4000,4.4000,4.4000,0,0,0
PID,20141024,4.8000,4.8000,4.8000,4.8000,100,4.8000,4.8000,4.8000,4.8000,0,0,0
PID,20141023,5.3000,5.3000,5.3000,5.3000,100,5.3000,5.3000,5.3000,5.3000,0,0,0
PID,20141020,5.7000,5.8000,5.7000,5.8000,2200,5.7000,5.8000,5.7000,5.8000,0,0,0
PID,20141017,6.3000,6.3000,5.3000,5.3000,1800,6.3000,6.3000,5.3000,5.3000,0,0,0
PID,20141016,5.8000,5.8000,5.8000,5.8000,100,5.8000,5.8000,5.8000,5.8000,0,0,0
PID,20141015,5.3000,5.3000,4.5000,5.3000,2300,5.3000,5.3000,4.5000,5.3000,0,0,0
PID,20141014,4.3000,4.9000,4.3000,4.9000,1700,4.3000,4.9000,4.3000,4.9000,0,0,0
PID,20141013,4.5000,4.5000,4.5000,4.5000,100,4.5000,4.5000,4.5000,4.5000,0,0,0
PID,20141009,4.8000,4.8000,4.8000,4.8000,100,4.8000,4.8000,4.8000,4.8000,0,0,0
PID,20141008,5.3000,5.3000,5.3000,5.3000,100,5.3000,5.3000,5.3000,5.3000,0,0,0
PID,20141007,6.4000,6.4000,5.8000,5.8000,2200,6.4000,6.4000,5.8000,5.8000,0,0,0
PID,20141006,6.4000,6.4000,6.4000,6.4000,100,6.4000,6.4000,6.4000,6.4000,0,0,0
PID,20141003,6.0000,6.0000,5.0000,5.9000,300,6.0000,6.0000,5.0000,5.9000,0,0,0
PID,20141002,5.5000,5.5000,5.5000,5.5000,1100,5.5000,5.5000,5.5000,5.5000,0,0,0
PID,20140930,4.3000,5.1000,4.3000,5.1000,1000,4.3000,5.1000,4.3000,5.1000,0,0,0
PID,20140926,5.6000,5.6000,4.7000,4.7000,2300,5.6000,5.6000,4.7000,4.7000,0,0,0
PID,20140925,6.0000,6.0000,5.0000,5.1000,1100,6.0000,6.0000,5.0000,5.1000,0,0,0
PID,20140924,4.5000,5.5000,4.5000,5.5000,200,4.5000,5.5000,4.5000,5.5000,0,0,0
PID,20140923,6.0000,6.0000,5.0000,5.0000,300,6.0000,6.0000,5.0000,5.0000,0,0,0
PID,20140922,4.5000,5.5000,4.5000,5.5000,900,4.5000,5.5000,4.5000,5.5000,0,0,0
PID,20140919,5.3000,6.0000,5.0000,5.0000,1300,5.3000,6.0000,5.0000,5.0000,0,0,0
PID,20140918,4.5000,5.5000,4.5000,5.5000,1400,4.5000,5.5000,4.5000,5.5000,0,0,0
PID,20140917,5.0000,5.0000,5.0000,5.0000,100,5.0000,5.0000,5.0000,5.0000,0,0,0
PID,20140916,6.4000,6.4000,5.4000,5.4000,1000,6.4000,6.4000,5.4000,5.4000,0,0,0
PID,20140915,4.9000,5.9000,4.9000,5.9000,500,4.9000,5.9000,4.9000,5.9000,0,0,0
PID,20140911,6.6000,6.6000,5.4000,5.4000,1300,6.6000,6.6000,5.4000,5.4000,0,0,0
PID,20140910,6.1000,6.1000,5.2000,6.0000,1300,6.1000,6.1000,5.2000,6.0000,0,0,0
PID,20140905,6.8000,6.8000,5.7000,5.7000,2300,6.8000,6.8000,5.7000,5.7000,0,800,0
PID,20140829,6.3000,6.3000,6.3000,6.3000,200,6.3000,6.3000,6.3000,6.3000,0,0,0
PID,20140319,7.0000,7.0000,7.0000,7.0000,100,7.0000,7.0000,7.0000,7.0000,0,0,0
PID,20130711,6.9000,6.9000,6.9000,6.9000,100,6.9000,6.9000,6.9000,6.9000,0,0,0
PID,20130321,6.9000,6.9000,6.9000,6.9000,200,6.9000,6.9000,6.9000,6.9000,0,0,0
PID,20130129,7.0000,7.0000,7.0000,7.0000,100,7.0000,7.0000,7.0000,7.0000,0,0,0
PID,20130115,6.8000,6.8000,6.8000,6.8000,500,6.8000,6.8000,6.8000,6.8000,0,500,0
PID,20130107,6.9000,6.9000,6.9000,6.9000,1000,6.9000,6.9000,6.9000,6.9000,0,1000,0
PID,20121224,7.0000,7.0000,7.0000,7.0000,100,7.0000,7.0000,7.0000,7.0000,0,0,0
PID,20121210,6.7000,6.7000,6.7000,6.7000,200,6.7000,6.7000,6.7000,6.7000,0,0,0
PID,20121204,7.1000,7.1000,7.1000,7.1000,100,7.1000,7.1000,7.1000,7.1000,0,0,0
PID,20121127,6.9000,6.9000,6.9000,6.9000,200,6.9000,6.9000,6.9000,6.9000,0,0,0
PID,20121122,11.0000,11.0000,6.5000,6.5000,700,11.0000,11.0000,6.5000,6.5000,0,0,0
